Sites,Depth,X Value 1 two_theta,X Value 2 peak_height,X Value 3 peak_width,X Value 4 MgCO3
1003,77.41,29.47,1232,0.198012285,2.520070283
1003,77.41,30.67,128,0.155947712,41.12377582
1003,78.91,29.46,888,0.202081949,2.184998961
1003,78.91,30.66,276,0.129189189,40.8147164
1003,79.4,29.41,1005,0.204299517,0.506184536
1003,79.4,29.63,346,0.022207792,7.850093246
1003,80.9,29.45,1102,0.220961538,1.849697431
1003,80.9,29.71,484,0.119939394,10.49332372
1003,82.41,29.41,1082,0.216968326,0.506184536
1003,82.41,29.65,454,0.046686828,8.512253916
1003,85.25,29.05,86,0.023267974,-11.75386272
1003,85.25,29.47,1232,0.190752085,2.520070283
1003,85.25,30.68,169,0.144166667,41.4326312
1003,86.71,29.47,1640,0.185053191,2.520070283
1003,86.71,30.65,161,0.155371377,40.50545276
1003,88.21,29.46,767,0.21231823,2.184998961
1003,88.21,30.67,121,0.123670034,41.12377582
1003,88.91,29.43,692,0.214643049,1.178402809
1003,88.91,30.72,98,0.15,42.66601641
1003,90.41,29.49,818,0.213327247,3.189523238
1003,90.41,30.67,106,0.173935927,41.12377582
1003,91.91,29.44,912,0.193094447,1.514165459
1003,91.91,30.66,88,0.1725,40.8147164
1003,92.31,29.49,520,0.215173077,3.189523238
1003,92.31,30.67,86,0.02325,41.12377582
1003,93.41,29.48,756,0.203790412,2.85491163
1003,93.81,29.49,795,0.188522054,3.189523238
1003,93.81,30.67,90,0.08270936,41.12377582
1003,94.91,29.43,942,0.200706288,1.178402809
1003,95.31,29.51,462,0.22148827,3.858058166
1003,95.31,29.78,276,0.086785714,12.79436285
1003,96.41,29.48,1102,0.202960526,2.85491163
1003,102.01,29.53,756,0.195268704,4.525676933
1003,102.01,29.77,196,0.020854167,12.46631338
1003,103.51,29.46,967,0.206948718,2.184998961
1003,103.51,29.73,279,0.031925287,11.15188232
1003,105.01,29.49,666,0.201977352,3.189523238
1003,106.51,29.51,1521,0.188572168,3.858058166
1003,111.51,29.47,2862,0.187258813,2.520070283
1003,113.01,29.45,1971,0.206551852,1.849697431
1003,113.01,30.64,96,0.188833333,40.19598468
1003,114.51,29.47,1624,0.203038273,2.520070283
1003,114.51,30.66,125,0.166886447,40.8147164
1003,116.02,29.43,2916,0.189723048,1.178402809
1003,117.52,29.46,3014,0.183924835,2.184998961
1003,119.01,29.46,1918,0.197385976,2.184998961
1003,119.01,30.64,85,0.127118056,40.19598468
1003,119.02,29.48,2070,0.199413315,2.85491163
1003,119.02,30.68,90,0.12975,41.4326312
1003,120.5,29.44,2852,0.186019542,1.514165459
1003,121.11,29.46,2862,0.190052342,2.184998961
1003,122.61,29.45,3102,0.188977772,1.849697431
1003,124.11,29.42,2884,0.182928898,0.842409246
1003,124.11,30.7,121,0.104404762,42.04973067
1003,125.61,29.43,3434,0.178025015,1.178402809
1003,125.61,30.68,112,0.1195,41.4326312
1003,131.07,29.43,3238,0.183006487,1.178402809
1003,131.07,30.7,85,0.111521739,42.04973067
1003,131.6,29.51,85,0.024352679,3.858058166
1003,131.6,30.03,835,0.068539513,20.92374575
1003,140.3,29.44,3564,0.179885527,1.514165459
1003,140.3,30.68,106,0.107142857,41.4326312
1003,141.81,29.43,2841,0.186179952,1.178402809
1003,143.31,29.49,3058,0.184521631,3.189523238
1003,143.31,29.95,100,0.021016043,18.33728693
1003,143.31,30.71,86,0.092722222,42.35797516
1003,144.8,29.42,3733,0.175618679,0.842409246
1003,146.31,29.46,3318,0.188741585,2.184998961
1003,146.31,30.7,123,0.213333333,42.04973067
1003,150.01,29.43,3612,0.17715921,1.178402809
1003,150.01,30.75,104,0.1792,43.58892272
1003,151.51,29.42,3881,0.17456904,0.842409246
1003,151.51,30.69,88,0.111367521,41.74128275
1003,153.01,29.44,3125,0.180742276,1.514165459
1003,153.01,30.71,149,0.188666667,42.35797516
1003,154.51,29.43,3238,0.189789891,1.178402809
1003,154.51,30.7,92,0.176625,42.04973067
1003,159.61,29.42,3469,0.188952832,0.842409246
1003,159.61,30.71,144,0.152301136,42.35797516
1003,161.11,29.45,3469,0.190189682,1.849697431
1003,161.11,30.71,380,0.179057471,42.35797516
1003,166.31,29.48,3249,0.193435354,2.85491163
1003,166.31,30.78,543,0.173599034,44.51000703
1003,167.81,29.41,3564,0.186131366,0.506184536
1003,167.81,30.7,259,0.166305556,42.04973067
1003,169.31,29.41,3881,0.177454484,0.506184536
1003,169.31,29.97,85,0.035,18.98521184
1003,169.31,30.72,369,0.177678571,42.66601641
1003,170.81,29.39,3080,0.192699297,-0.166959273
